orders_per_day,aov_tier,aov,monthly_ebitda,contribution_margin
50,Low AOV,420,-83394.44,25.7
50,Mid AOV,520,-55644.44,44.2
50,High AOV,620,-27894.44,62.7
60,Low AOV,420,-75684.44,25.7
60,Mid AOV,520,-42384.44,44.2
60,High AOV,620,-9084.44,62.7
70,Low AOV,420,-67974.44,25.7
70,Mid AOV,520,-29124.44,44.2
70,High AOV,620,9725.56,62.7
80,Low AOV,420,-60264.44,25.7
80,Mid AOV,520,-15864.44,44.2
80,High AOV,620,28535.56,62.7
90,Low AOV,420,-52554.44,25.7
90,Mid AOV,520,-2604.44,44.2
90,High AOV,620,47345.56,62.7
100,Low AOV,420,-44844.44,25.7
100,Mid AOV,520,10655.56,44.2
100,High AOV,620,66155.56,62.7
110,Low AOV,420,-37134.44,25.7
110,Mid AOV,520,23915.56,44.2
110,High AOV,620,84965.56,62.7
120,Low AOV,420,-29424.44,25.7
120,Mid AOV,520,37175.56,44.2
120,High AOV,620,103775.56,62.7
130,Low AOV,420,-21714.44,25.7
130,Mid AOV,520,50435.56,44.2
130,High AOV,620,122585.56,62.7
140,Low AOV,420,-14004.44,25.7
140,Mid AOV,520,63695.56,44.2
140,High AOV,620,141395.56,62.7
150,Low AOV,420,-6294.44,25.7
150,Mid AOV,520,76955.56,44.2
150,High AOV,620,160205.56,62.7
160,Low AOV,420,1415.56,25.7
160,Mid AOV,520,90215.56,44.2
160,High AOV,620,179015.56,62.7
170,Low AOV,420,9125.56,25.7
170,Mid AOV,520,103475.56,44.2
170,High AOV,620,197825.56,62.7
180,Low AOV,420,16835.56,25.7
180,Mid AOV,520,116735.56,44.2
180,High AOV,620,216635.56,62.7
190,Low AOV,420,24545.56,25.7
190,Mid AOV,520,129995.56,44.2
190,High AOV,620,235445.56,62.7
200,Low AOV,420,32255.56,25.7
200,Mid AOV,520,143255.56,44.2
200,High AOV,620,254255.56,62.7
210,Low AOV,420,39965.56,25.7
210,Mid AOV,520,156515.56,44.2
210,High AOV,620,273065.56,62.7
220,Low AOV,420,47675.56,25.7
220,Mid AOV,520,169775.56,44.2
220,High AOV,620,291875.56,62.7
230,Low AOV,420,55385.56,25.7
230,Mid AOV,520,183035.56,44.2
230,High AOV,620,310685.56,62.7
240,Low AOV,420,63095.56,25.7
240,Mid AOV,520,196295.56,44.2
240,High AOV,620,329495.56,62.7
250,Low AOV,420,70805.56,25.7
250,Mid AOV,520,209555.56,44.2
250,High AOV,620,348305.56,62.7
260,Low AOV,420,78515.56,25.7
260,Mid AOV,520,222815.56,44.2
260,High AOV,620,367115.56,62.7
270,Low AOV,420,86225.56,25.7
270,Mid AOV,520,236075.56,44.2
270,High AOV,620,385925.56,62.7
280,Low AOV,420,93935.56,25.7
280,Mid AOV,520,249335.56,44.2
280,High AOV,620,404735.56,62.7
290,Low AOV,420,101645.56,25.7
290,Mid AOV,520,262595.56,44.2
290,High AOV,620,423545.56,62.7
300,Low AOV,420,109355.56,25.7
300,Mid AOV,520,275855.56,44.2
300,High AOV,620,442355.56,62.7
310,Low AOV,420,117065.56,25.7
310,Mid AOV,520,289115.56,44.2
310,High AOV,620,461165.56,62.7
320,Low AOV,420,124775.56,25.7
320,Mid AOV,520,302375.56,44.2
320,High AOV,620,479975.56,62.7
330,Low AOV,420,132485.56,25.7
330,Mid AOV,520,315635.56,44.2
330,High AOV,620,498785.56,62.7
340,Low AOV,420,140195.56,25.7
340,Mid AOV,520,328895.56,44.2
340,High AOV,620,517595.56,62.7
350,Low AOV,420,147905.56,25.7
350,Mid AOV,520,342155.56,44.2
350,High AOV,620,536405.56,62.7
360,Low AOV,420,155615.56,25.7
360,Mid AOV,520,355415.56,44.2
360,High AOV,620,555215.56,62.7
370,Low AOV,420,163325.56,25.7
370,Mid AOV,520,368675.56,44.2
370,High AOV,620,574025.56,62.7
380,Low AOV,420,171035.56,25.7
380,Mid AOV,520,381935.56,44.2
380,High AOV,620,592835.56,62.7
390,Low AOV,420,178745.56,25.7
390,Mid AOV,520,395195.56,44.2
390,High AOV,620,611645.56,62.7
400,Low AOV,420,186455.56,25.7
400,Mid AOV,520,408455.56,44.2
400,High AOV,620,630455.56,62.7
410,Low AOV,420,194165.56,25.7
410,Mid AOV,520,421715.56,44.2
410,High AOV,620,649265.56,62.7
420,Low AOV,420,201875.56,25.7
420,Mid AOV,520,434975.56,44.2
420,High AOV,620,668075.56,62.7
430,Low AOV,420,209585.56,25.7
430,Mid AOV,520,448235.56,44.2
430,High AOV,620,686885.56,62.7
440,Low AOV,420,217295.56,25.7
440,Mid AOV,520,461495.56,44.2
440,High AOV,620,705695.56,62.7
450,Low AOV,420,225005.56,25.7
450,Mid AOV,520,474755.56,44.2
450,High AOV,620,724505.56,62.7
460,Low AOV,420,232715.56,25.7
460,Mid AOV,520,488015.56,44.2
460,High AOV,620,743315.56,62.7
470,Low AOV,420,240425.56,25.7
470,Mid AOV,520,501275.56,44.2
470,High AOV,620,762125.56,62.7
480,Low AOV,420,248135.56,25.7
480,Mid AOV,520,514535.56,44.2
480,High AOV,620,780935.56,62.7
490,Low AOV,420,255845.56,25.7
490,Mid AOV,520,527795.56,44.2
490,High AOV,620,799745.56,62.7
500,Low AOV,420,263555.56,25.7
500,Mid AOV,520,541055.56,44.2
500,High AOV,620,818555.56,62.7
510,Low AOV,420,271265.56,25.7
510,Mid AOV,520,554315.56,44.2
510,High AOV,620,837365.56,62.7
520,Low AOV,420,278975.56,25.7
520,Mid AOV,520,567575.56,44.2
520,High AOV,620,856175.56,62.7
530,Low AOV,420,286685.56,25.7
530,Mid AOV,520,580835.56,44.2
530,High AOV,620,874985.56,62.7
540,Low AOV,420,294395.56,25.7
540,Mid AOV,520,594095.56,44.2
540,High AOV,620,893795.56,62.7
550,Low AOV,420,302105.56,25.7
550,Mid AOV,520,607355.56,44.2
550,High AOV,620,912605.56,62.7
560,Low AOV,420,309815.56,25.7
560,Mid AOV,520,620615.56,44.2
560,High AOV,620,931415.56,62.7
570,Low AOV,420,317525.56,25.7
570,Mid AOV,520,633875.56,44.2
570,High AOV,620,950225.56,62.7
580,Low AOV,420,325235.56,25.7
580,Mid AOV,520,647135.56,44.2
580,High AOV,620,969035.56,62.7
590,Low AOV,420,332945.56,25.7
590,Mid AOV,520,660395.56,44.2
590,High AOV,620,987845.56,62.7
600,Low AOV,420,340655.56,25.7
600,Mid AOV,520,673655.56,44.2
600,High AOV,620,1006655.56,62.7
